essential,mesa-libgl,opengl
essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
essential,tldr,Examples for CLIs
essential,openssh,Remote login tool for SSH protocol
essential,cowsay,We all need a cow in our life
network,networkmanager,Network manager
network,nmap,Network mapper (comes with ncat too)
network,wget,Tool for retrieving files using HTTP HTTPS FTP and FTPS
network,net-tools,Include netstats and others
network,openvpn,VPN
network,lynx,CLI Browser
compression,unzip,Compress / uncompress zip files
compression,p7zip,Compress / uncompress 7z files
audio,pulseaudio,Sound system
audio,pavucontrol,Control panel for input hardware
audio,alsa-utils,Utils to control sound card
audio,audacity,Audio recording
tools,rsync,Tool for transferring and synchronizing files across computer systems
tools,ntfs-3g,Allow mounting NTFS formatted devices
tools,compton,Compositor for X - manage transparency
tools,htop,Interactive process viewer
tools,qtkeychain,Qt API to store passwords
tools,ncdu,Disk analyser
tools,arandr,xrandr GUI
tools,boxes,Draw ASCII boxes in terminal - ESSENTIAL! (AUR)
tools,xsel,Manipulate the X selection
tools,lxappearance,Theme switcher of LXDE
tools,polkit,Control system wide privilege
tools,xcape,Configure modifier key
tools,bc,Calculator
tools,httpie,a CLI cURL-like tool for humans
tools,fzf,Command line fuzzy finder
tools,siege,Http load testing and benchmarking utility
tools,imagemagick,Convert edit or compose images
tools,unclutter,Hide the mouse after short period of time
tools,pv,Display progress bar through pipeline
tools,the_silver_searcher,A fast code searching tool
tools,bat,A cat clone with winds
tools,noto-fonts-cjk,Fonts for asian display
tools,noto-fonts-emoji,Fonts for emojis
tools,whois,Display web domain information
tools,time,Measure time takes a specific command
tools,downgrader,Utility to downgrad Arch packages (AUR)
tools,simple-mtpfs,Can mount MTP filesystems (thanks Android) (AUR)
tools,scrot,Screenshot software for i3lock
tools,xclip,CLI to Clipboard
tools,redshift,Adjust color of screen
tools,udiskie,Automount devices
tools,gparted,Partitioning tool
tools,taskell,CLI kanban
graphism,gcolor2,Simple color selector
graphism,pinta,Easy to use image editor
graphism,libwebp,Image converter from jpg to webp
graphism,drawio-desktop,Desktop diagramming application (AUR)
graphism,sxiv,Simple X image viewer
graphism,gimp,Image processor
graphism,gimp-plugin-gmic,Filters for gimp
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
git,git,Version control system
git,tig,Text mode interface for git
git,diff-so-fancy,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
